Replicate,File Name,Sample Type,Molecule Name,Analyte Concentration,Area,Product Mz,Background,Points Across Peak,RatioLightToHeavy,Slope,Intercept,R Squared,Error Message,Accuracy,Calculated Concentration,Fwhm,Precursor Mz,Fragment Ion Type,Isotope Label Type,Normalized Area
12_std300,mtab_Zoop2_BC_lumos_071423_063.raw,Standard,2′deoxycytidine,300,967158,332.1241,57631,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,102.8%,3.0841E+2,0.03,332.1241,precursor,light,4.2694E-1
13_std500,mtab_Zoop2_BC_lumos_071423_064.raw,Standard,2′deoxycytidine,500,1967061,332.1241,60868,13,#N/A,1.1722E-3,6.5420E-2,0.9988,,123.2%,6.1593E+2,0.03,332.1241,precursor,light,7.8743E-1
14_std700,mtab_Zoop2_BC_lumos_071423_065.raw,Standard,2′deoxycytidine,700,2198585,332.1241,88063,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,100.8%,7.0543E+2,0.03,332.1241,precursor,light,8.9234E-1
15_std1000,mtab_Zoop2_BC_lumos_071423_066.raw,Standard,2′deoxycytidine,1000,3366393,332.1241,105880,13,#N/A,1.1722E-3,6.5420E-2,0.9988,,115.7%,1.1567E+3,0.03,332.1241,precursor,light,1.4214E+0
16_std3000,mtab_Zoop2_BC_lumos_071423_067.raw,Standard,2′deoxycytidine,3000,8538004,332.1241,24302,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,96.2%,2.8856E+3,0.03,332.1241,precursor,light,3.4480E+0
17_std7000,mtab_Zoop2_BC_lumos_071423_068.raw,Standard,2′deoxycytidine,7000,16809490,332.1241,135966,13,#N/A,1.1722E-3,6.5420E-2,0.9988,,100.3%,7.0180E+3,0.03,332.1241,precursor,light,8.2921E+0
pool1,mtab_Zoop2_BC_lumos_071423_070.raw,Quality Control,2′deoxycytidine,,470342,332.1241,90938,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.2123E+2,0.02,332.1241,precursor,light,2.0753E-1
pool2,mtab_Zoop2_BC_lumos_071423_082.raw,Quality Control,2′deoxycytidine,,533563,332.1241,15567,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.3019E+2,0.03,332.1241,precursor,light,2.1804E-1
pool3,mtab_Zoop2_BC_lumos_071423_094.raw,Quality Control,2′deoxycytidine,,446213,332.1241,49254,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,7.8553E+1,0.02,332.1241,precursor,light,1.5750E-1
18_t0_ctrl_6,mtab_Zoop2_BC_lumos_071423_076.raw,Unknown,2′deoxycytidine,,74084,332.1241,0,17,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-2.6273E+1,0.02,332.1241,precursor,light,3.4623E-2
19_t0_ctrl_16,mtab_Zoop2_BC_lumos_071423_093.raw,Unknown,2′deoxycytidine,,38993,332.1241,46675,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-4.3446E+1,0.01,332.1241,precursor,light,1.4492E-2
20_t0_ctrl_4,mtab_Zoop2_BC_lumos_071423_075.raw,Unknown,2′deoxycytidine,,135975,332.1241,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.4847E+1,0.04,332.1241,precursor,light,4.8016E-2
21_t6_ctrl_53,mtab_Zoop2_BC_lumos_071423_092.raw,Unknown,2′deoxycytidine,,42026,332.1241,31606,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-4.2760E+1,0.02,332.1241,precursor,light,1.5296E-2
22_t6_ctrl_26,mtab_Zoop2_BC_lumos_071423_073.raw,Unknown,2′deoxycytidine,,109640,332.1241,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-2.5018E+1,0.05,332.1241,precursor,light,3.6094E-2
23_t6_ctrl_22,mtab_Zoop2_BC_lumos_071423_085.raw,Unknown,2′deoxycytidine,,70457,332.1241,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.1293E+1,0.01,332.1241,precursor,light,2.8738E-2
24_t6_Px_52,mtab_Zoop2_BC_lumos_071423_089.raw,Unknown,2′deoxycytidine,,57885,332.1241,0,17,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.4789E+1,0.03,332.1241,precursor,light,2.4640E-2
25_t6_Px_12,mtab_Zoop2_BC_lumos_071423_074.raw,Unknown,2′deoxycytidine,,115180,332.1241,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.3433E+1,0.03,332.1241,precursor,light,4.9674E-2
26_t6_Px_11,mtab_Zoop2_BC_lumos_071423_087.raw,Unknown,2′deoxycytidine,,53312,332.1241,6859,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.9858E+1,0.02,332.1241,precursor,light,1.8698E-2
27_t12_ctrl_2,mtab_Zoop2_BC_lumos_071423_083.raw,Unknown,2′deoxycytidine,,99220,332.1241,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-2.3138E+1,0.05,332.1241,precursor,light,3.8297E-2
28_t12_ctrl_5,mtab_Zoop2_BC_lumos_071423_081.raw,Unknown,2′deoxycytidine,,32948,332.1241,14842,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-4.7526E+1,0.01,332.1241,precursor,light,9.7093E-3
29_t12_ctrl_25,mtab_Zoop2_BC_lumos_071423_072.raw,Unknown,2′deoxycytidine,,106435,332.1241,0,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-2.4972E+1,0.03,332.1241,precursor,light,3.6147E-2
30_t12_Px_57,mtab_Zoop2_BC_lumos_071423_079.raw,Unknown,2′deoxycytidine,,67767,332.1241,3230,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.6540E+1,0.04,332.1241,precursor,light,2.2588E-2
31_t12_Px_10,mtab_Zoop2_BC_lumos_071423_088.raw,Unknown,2′deoxycytidine,,34065,332.1241,32394,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-4.4400E+1,0.03,332.1241,precursor,light,1.3374E-2
32_t12_Px_18,mtab_Zoop2_BC_lumos_071423_086.raw,Unknown,2′deoxycytidine,,104030,332.1241,11620,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.7398E+1,0.04,332.1241,precursor,light,4.5026E-2
33_t12_Euph_24,mtab_Zoop2_BC_lumos_071423_084.raw,Unknown,2′deoxycytidine,,275924,332.1241,32608,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,2.5735E+1,0.03,332.1241,precursor,light,9.5587E-2
34_t12_Euph_68,mtab_Zoop2_BC_lumos_071423_077.raw,Unknown,2′deoxycytidine,,808829,332.1241,0,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,2.1587E+2,0.02,332.1241,precursor,light,3.1847E-1
35_t12_Euph_15,mtab_Zoop2_BC_lumos_071423_078.raw,Unknown,2′deoxycytidine,,4252390,332.1241,0,13,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.5188E+3,0.02,332.1241,precursor,light,1.8458E+0
36_t12_Cpy_3,mtab_Zoop2_BC_lumos_071423_090.raw,Unknown,2′deoxycytidine,,97016,332.1241,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.8845E+1,0.04,332.1241,precursor,light,4.3330E-2
37_t12_Cpy_9,mtab_Zoop2_BC_lumos_071423_071.raw,Unknown,2′deoxycytidine,,369746,332.1241,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,7.5045E+1,0.02,332.1241,precursor,light,1.5339E-1
38_t12_Amph_17,mtab_Zoop2_BC_lumos_071423_091.raw,Unknown,2′deoxycytidine,,139477,332.1241,0,14,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-2.0068E+1,0.03,332.1241,precursor,light,4.1896E-2
39_t12_Amph_21,mtab_Zoop2_BC_lumos_071423_080.raw,Unknown,2′deoxycytidine,,113764,332.1241,9438,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.4459E+1,0.03,332.1241,precursor,light,4.8472E-2
2_std0,mtab_Zoop2_BC_lumos_071423_053.raw,Standard,2′deoxycytidine,0,0,216.0776,0,1,#N/A,1.1722E-3,6.5420E-2,0.9988,,-∞,-1.4046E+1,0.1,332.1241,custom,light,4.8955E-2
5_std10,mtab_Zoop2_BC_lumos_071423_056.raw,Standard,2′deoxycytidine,10,0,216.0776,0,2,#N/A,1.1722E-3,6.5420E-2,0.9988,,-212.6%,-2.1262E+1,0.1,332.1241,custom,light,4.0497E-2
6_std20,mtab_Zoop2_BC_lumos_071423_057.raw,Standard,2′deoxycytidine,20,0,216.0776,0,3,#N/A,1.1722E-3,6.5420E-2,0.9988,,65.5%,1.3100E+1,0.1,332.1241,custom,light,8.0776E-2
7_std30,mtab_Zoop2_BC_lumos_071423_058.raw,Standard,2′deoxycytidine,30,0,216.0776,0,2,#N/A,1.1722E-3,6.5420E-2,0.9988,,99.8%,2.9926E+1,0.1,332.1241,custom,light,1.0050E-1
8_std50,mtab_Zoop2_BC_lumos_071423_059.raw,Standard,2′deoxycytidine,50,0,216.0776,0,5,#N/A,1.1722E-3,6.5420E-2,0.9988,,43.6%,2.1790E+1,0.1,332.1241,custom,light,9.0963E-2
9_std70,mtab_Zoop2_BC_lumos_071423_060.raw,Standard,2′deoxycytidine,70,0,216.0776,0,5,#N/A,1.1722E-3,6.5420E-2,0.9988,,99.1%,6.9404E+1,0.1,332.1241,custom,light,1.4678E-1
10_std85,mtab_Zoop2_BC_lumos_071423_061.raw,Standard,2′deoxycytidine,85,0,216.0776,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,121.6%,1.0332E+2,0.1,332.1241,custom,light,1.8653E-1
11_std100,mtab_Zoop2_BC_lumos_071423_062.raw,Standard,2′deoxycytidine,100,0,216.0776,0,5,#N/A,1.1722E-3,6.5420E-2,0.9988,,63.8%,6.3758E+1,0.1,332.1241,custom,light,1.4016E-1
12_std300,mtab_Zoop2_BC_lumos_071423_063.raw,Standard,2′deoxycytidine,300,0,216.0776,0,7,#N/A,1.1722E-3,6.5420E-2,0.9988,,102.8%,3.0841E+2,0.1,332.1241,custom,light,4.2694E-1
13_std500,mtab_Zoop2_BC_lumos_071423_064.raw,Standard,2′deoxycytidine,500,0,216.0776,0,7,#N/A,1.1722E-3,6.5420E-2,0.9988,,123.2%,6.1593E+2,0.1,332.1241,custom,light,7.8743E-1
14_std700,mtab_Zoop2_BC_lumos_071423_065.raw,Standard,2′deoxycytidine,700,0,216.0776,0,8,#N/A,1.1722E-3,6.5420E-2,0.9988,,100.8%,7.0543E+2,0.1,332.1241,custom,light,8.9234E-1
15_std1000,mtab_Zoop2_BC_lumos_071423_066.raw,Standard,2′deoxycytidine,1000,0,216.0776,0,8,#N/A,1.1722E-3,6.5420E-2,0.9988,,115.7%,1.1567E+3,0.1,332.1241,custom,light,1.4214E+0
16_std3000,mtab_Zoop2_BC_lumos_071423_067.raw,Standard,2′deoxycytidine,3000,0,216.0776,0,9,#N/A,1.1722E-3,6.5420E-2,0.9988,,96.2%,2.8856E+3,0.1,332.1241,custom,light,3.4480E+0
17_std7000,mtab_Zoop2_BC_lumos_071423_068.raw,Standard,2′deoxycytidine,7000,0,216.0776,0,8,#N/A,1.1722E-3,6.5420E-2,0.9988,,100.3%,7.0180E+3,0.1,332.1241,custom,light,8.2921E+0
pool1,mtab_Zoop2_BC_lumos_071423_070.raw,Quality Control,2′deoxycytidine,,0,216.0776,0,5,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.2123E+2,0.1,332.1241,custom,light,2.0753E-1
pool2,mtab_Zoop2_BC_lumos_071423_082.raw,Quality Control,2′deoxycytidine,,0,216.0776,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.3019E+2,0.1,332.1241,custom,light,2.1804E-1
pool3,mtab_Zoop2_BC_lumos_071423_094.raw,Quality Control,2′deoxycytidine,,0,216.0776,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,7.8553E+1,0.1,332.1241,custom,light,1.5750E-1
20_t0_ctrl_4,mtab_Zoop2_BC_lumos_071423_075.raw,Unknown,2′deoxycytidine,,0,216.0776,0,1,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.4847E+1,0.1,332.1241,custom,light,4.8016E-2
23_t6_ctrl_22,mtab_Zoop2_BC_lumos_071423_085.raw,Unknown,2′deoxycytidine,,0,216.0776,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.1293E+1,0.1,332.1241,custom,light,2.8738E-2
24_t6_Px_52,mtab_Zoop2_BC_lumos_071423_089.raw,Unknown,2′deoxycytidine,,0,216.0776,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.4789E+1,0.1,332.1241,custom,light,2.4640E-2
25_t6_Px_12,mtab_Zoop2_BC_lumos_071423_074.raw,Unknown,2′deoxycytidine,,0,216.0776,0,1,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.3433E+1,0.1,332.1241,custom,light,4.9674E-2
30_t12_Px_57,mtab_Zoop2_BC_lumos_071423_079.raw,Unknown,2′deoxycytidine,,0,216.0776,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.6540E+1,0.1,332.1241,custom,light,2.2588E-2
32_t12_Px_18,mtab_Zoop2_BC_lumos_071423_086.raw,Unknown,2′deoxycytidine,,0,216.0776,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.7398E+1,0.1,332.1241,custom,light,4.5026E-2
33_t12_Euph_24,mtab_Zoop2_BC_lumos_071423_084.raw,Unknown,2′deoxycytidine,,0,216.0776,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,2.5735E+1,0.1,332.1241,custom,light,9.5587E-2
34_t12_Euph_68,mtab_Zoop2_BC_lumos_071423_077.raw,Unknown,2′deoxycytidine,,0,216.0776,0,7,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,2.1587E+2,0.1,332.1241,custom,light,3.1847E-1
35_t12_Euph_15,mtab_Zoop2_BC_lumos_071423_078.raw,Unknown,2′deoxycytidine,,0,216.0776,0,8,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.5188E+3,0.1,332.1241,custom,light,1.8458E+0
36_t12_Cpy_3,mtab_Zoop2_BC_lumos_071423_090.raw,Unknown,2′deoxycytidine,,0,216.0776,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.8845E+1,0.1,332.1241,custom,light,4.3330E-2
37_t12_Cpy_9,mtab_Zoop2_BC_lumos_071423_071.raw,Unknown,2′deoxycytidine,,0,216.0776,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,7.5045E+1,0.1,332.1241,custom,light,1.5339E-1
38_t12_Amph_17,mtab_Zoop2_BC_lumos_071423_091.raw,Unknown,2′deoxycytidine,,0,216.0776,0,2,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-2.0068E+1,0.1,332.1241,custom,light,4.1896E-2
39_t12_Amph_21,mtab_Zoop2_BC_lumos_071423_080.raw,Unknown,2′deoxycytidine,,0,216.0776,0,1,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.4459E+1,0.1,332.1241,custom,light,4.8472E-2
2_std0,mtab_Zoop2_BC_lumos_071423_053.raw,Standard,2′deoxycytidine,0,0,105.033,0,1,#N/A,1.1722E-3,6.5420E-2,0.9988,,-∞,-1.4046E+1,0.1,332.1241,custom,light,4.8955E-2
5_std10,mtab_Zoop2_BC_lumos_071423_056.raw,Standard,2′deoxycytidine,10,640477,105.033,0,2,#N/A,1.1722E-3,6.5420E-2,0.9988,,-212.6%,-2.1262E+1,0.1,332.1241,custom,light,4.0497E-2
6_std20,mtab_Zoop2_BC_lumos_071423_057.raw,Standard,2′deoxycytidine,20,316341,105.033,0,3,#N/A,1.1722E-3,6.5420E-2,0.9988,,65.5%,1.3100E+1,0.1,332.1241,custom,light,8.0776E-2
7_std30,mtab_Zoop2_BC_lumos_071423_058.raw,Standard,2′deoxycytidine,30,309005,105.033,0,2,#N/A,1.1722E-3,6.5420E-2,0.9988,,99.8%,2.9926E+1,0.1,332.1241,custom,light,1.0050E-1
8_std50,mtab_Zoop2_BC_lumos_071423_059.raw,Standard,2′deoxycytidine,50,301140,105.033,0,5,#N/A,1.1722E-3,6.5420E-2,0.9988,,43.6%,2.1790E+1,0.08,332.1241,custom,light,9.0963E-2
9_std70,mtab_Zoop2_BC_lumos_071423_060.raw,Standard,2′deoxycytidine,70,281169,105.033,0,5,#N/A,1.1722E-3,6.5420E-2,0.9988,,99.1%,6.9404E+1,0.08,332.1241,custom,light,1.4678E-1
10_std85,mtab_Zoop2_BC_lumos_071423_061.raw,Standard,2′deoxycytidine,85,323623,105.033,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,121.6%,1.0332E+2,0.1,332.1241,custom,light,1.8653E-1
11_std100,mtab_Zoop2_BC_lumos_071423_062.raw,Standard,2′deoxycytidine,100,263858,105.033,0,5,#N/A,1.1722E-3,6.5420E-2,0.9988,,63.8%,6.3758E+1,0.1,332.1241,custom,light,1.4016E-1
12_std300,mtab_Zoop2_BC_lumos_071423_063.raw,Standard,2′deoxycytidine,300,341153,105.033,0,7,#N/A,1.1722E-3,6.5420E-2,0.9988,,102.8%,3.0841E+2,0.03,332.1241,custom,light,4.2694E-1
13_std500,mtab_Zoop2_BC_lumos_071423_064.raw,Standard,2′deoxycytidine,500,195432,105.033,0,7,#N/A,1.1722E-3,6.5420E-2,0.9988,,123.2%,6.1593E+2,0.04,332.1241,custom,light,7.8743E-1
14_std700,mtab_Zoop2_BC_lumos_071423_065.raw,Standard,2′deoxycytidine,700,254638,105.033,0,8,#N/A,1.1722E-3,6.5420E-2,0.9988,,100.8%,7.0543E+2,0.04,332.1241,custom,light,8.9234E-1
15_std1000,mtab_Zoop2_BC_lumos_071423_066.raw,Standard,2′deoxycytidine,1000,322262,105.033,0,8,#N/A,1.1722E-3,6.5420E-2,0.9988,,115.7%,1.1567E+3,0.1,332.1241,custom,light,1.4214E+0
16_std3000,mtab_Zoop2_BC_lumos_071423_067.raw,Standard,2′deoxycytidine,3000,132606,105.033,0,9,#N/A,1.1722E-3,6.5420E-2,0.9988,,96.2%,2.8856E+3,0.03,332.1241,custom,light,3.4480E+0
17_std7000,mtab_Zoop2_BC_lumos_071423_068.raw,Standard,2′deoxycytidine,7000,268921,105.033,0,8,#N/A,1.1722E-3,6.5420E-2,0.9988,,100.3%,7.0180E+3,0.09,332.1241,custom,light,8.2921E+0
pool1,mtab_Zoop2_BC_lumos_071423_070.raw,Quality Control,2′deoxycytidine,,414038,105.033,0,5,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.2123E+2,0.1,332.1241,custom,light,2.0753E-1
pool2,mtab_Zoop2_BC_lumos_071423_082.raw,Quality Control,2′deoxycytidine,,353458,105.033,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.3019E+2,0.1,332.1241,custom,light,2.1804E-1
pool3,mtab_Zoop2_BC_lumos_071423_094.raw,Quality Control,2′deoxycytidine,,239760,105.033,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,7.8553E+1,0.04,332.1241,custom,light,1.5750E-1
20_t0_ctrl_4,mtab_Zoop2_BC_lumos_071423_075.raw,Unknown,2′deoxycytidine,,413442,105.033,0,1,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.4847E+1,0.1,332.1241,custom,light,4.8016E-2
23_t6_ctrl_22,mtab_Zoop2_BC_lumos_071423_085.raw,Unknown,2′deoxycytidine,,196845,105.033,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.1293E+1,0.1,332.1241,custom,light,2.8738E-2
24_t6_Px_52,mtab_Zoop2_BC_lumos_071423_089.raw,Unknown,2′deoxycytidine,,337077,105.033,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.4789E+1,0.1,332.1241,custom,light,2.4640E-2
25_t6_Px_12,mtab_Zoop2_BC_lumos_071423_074.raw,Unknown,2′deoxycytidine,,420448,105.033,0,1,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.3433E+1,0.1,332.1241,custom,light,4.9674E-2
30_t12_Px_57,mtab_Zoop2_BC_lumos_071423_079.raw,Unknown,2′deoxycytidine,,266675,105.033,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-3.6540E+1,0.1,332.1241,custom,light,2.2588E-2
32_t12_Px_18,mtab_Zoop2_BC_lumos_071423_086.raw,Unknown,2′deoxycytidine,,279955,105.033,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.7398E+1,0.1,332.1241,custom,light,4.5026E-2
33_t12_Euph_24,mtab_Zoop2_BC_lumos_071423_084.raw,Unknown,2′deoxycytidine,,385184,105.033,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,2.5735E+1,0.09,332.1241,custom,light,9.5587E-2
34_t12_Euph_68,mtab_Zoop2_BC_lumos_071423_077.raw,Unknown,2′deoxycytidine,,551247,105.033,0,7,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,2.1587E+2,0.05,332.1241,custom,light,3.1847E-1
35_t12_Euph_15,mtab_Zoop2_BC_lumos_071423_078.raw,Unknown,2′deoxycytidine,,458993,105.033,0,8,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,1.5188E+3,0.05,332.1241,custom,light,1.8458E+0
36_t12_Cpy_3,mtab_Zoop2_BC_lumos_071423_090.raw,Unknown,2′deoxycytidine,,416172,105.033,0,#N/A,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.8845E+1,0.1,332.1241,custom,light,4.3330E-2
37_t12_Cpy_9,mtab_Zoop2_BC_lumos_071423_071.raw,Unknown,2′deoxycytidine,,307694,105.033,0,6,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,7.5045E+1,0.1,332.1241,custom,light,1.5339E-1
38_t12_Amph_17,mtab_Zoop2_BC_lumos_071423_091.raw,Unknown,2′deoxycytidine,,550498,105.033,0,2,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-2.0068E+1,0.1,332.1241,custom,light,4.1896E-2
39_t12_Amph_21,mtab_Zoop2_BC_lumos_071423_080.raw,Unknown,2′deoxycytidine,,552899,105.033,0,1,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-1.4459E+1,0.1,332.1241,custom,light,4.8472E-2
MQ1,mtab_Zoop2_BC_lumos_071423_001.raw,Double Blank,2′deoxycytidine,,1111,337.15553,936,21,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,-5.5809E+1,0.01,337.15553,precursor,heavyD5,0.0000E+0
MQ2,mtab_Zoop2_BC_lumos_071423_095.raw,Double Blank,2′deoxycytidine,,0,337.15553,0,18,#N/A,1.1722E-3,6.5420E-2,0.9988,,#N/A,NaN,0.1,337.15553,precursor,heavyD5,NaN
1_std0,mtab_Zoop2_BC_lumos_071423_052.raw,Standard,2′deoxycytidine,0,2457081,337.15553,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,-∞,-2.2428E+1,0.03,337.15553,precursor,heavyD5,3.9130E-2
2_std0,mtab_Zoop2_BC_lumos_071423_053.raw,Standard,2′deoxycytidine,0,2209059,337.15553,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,-∞,-1.4046E+1,0.03,337.15553,precursor,heavyD5,4.8955E-2
3_std0,mtab_Zoop2_BC_lumos_071423_054.raw,Standard,2′deoxycytidine,0,2781827,337.15553,0,15,#N/A,1.1722E-3,6.5420E-2,0.9988,,-∞,-3.0156E+1,0.03,337.15553,precursor,heavyD5,3.0071E-2
4_std5,mtab_Zoop2_BC_lumos_071423_055.raw,Standard,2′deoxycytidine,5,2290034,337.15553,0,16,#N/A,1.1722E-3,6.5420E-2,0.9988,,-671.9%,-3.3596E+1,0.03,337.15553,precursor,heavyD5,2.6039E-2
